 # Time         Temp      Kin     Potencial       E_tot        Pressure
   0.0000000000000000        306.27967104246983        3.8198252774540000       0.84918644228443974        4.6690117197384398        636637870.26538992     
   7.3971513515464502E-004   313.28256860595053        3.9071632487837906       0.97804727333824326        4.8852105221220334        683809956.27361798     
   1.4794302703092900E-003   298.81998748194076        3.7267904125237523       0.98025494878786057        4.7070453613116126        684035863.07314003     
   2.2191454054639351E-003   289.12358282291456        3.6058598542176634       0.88239875750769259        4.4882586117253558        650291038.79127383     
   2.9588605406185801E-003   302.90383546012384        3.7777229007403150       0.85498562659706856        4.6327085273373836        640416974.79268706     
   3.6985756757732251E-003   307.94144520149513        3.8405504105209762       0.80483516082739248        4.6453855713483687        621657869.26577854     
   4.4382908109278701E-003   300.32238254679282        3.7455278188488630       0.78623066825694221        4.5317584871058045        614872672.30133510     
   5.1780059460825156E-003   306.76605968897866        3.8258913661378404       0.83780261092076536        4.6636939770586059        632599805.52339518     
   5.9177210812371601E-003   303.92916054923677        3.7905104379597154       0.74814860338061651        4.5386590413403320        600908021.89513803     
   6.6574362163918056E-003   306.96121267245263        3.8283252537566543       0.81700824525765192        4.6453334990143063        625340664.21241879     
   7.3971513515464502E-003   300.91172025479187        3.7528778563695036       0.80587499177169997        4.5587528481412036        622467126.46424937     
   8.1368664867010956E-003   298.53719559102899        3.7232635195716761       0.75468438464279031        4.4779479042144663        604165286.46487951     
   8.8765816218557402E-003   310.34938807095921        3.8705815288388763       0.88748150586191066        4.7580630347007871        650970488.76626873     
   9.6162967570103848E-003   288.88819632196868        3.6029241866194055       0.82663126071550164        4.4295554473349075        629443208.59158289     
   1.0356011892165031E-002   298.26876849798356        3.7199157799333298       0.84858526333728534        4.5685010432706159        637475003.62482858     
   1.1095727027319676E-002   304.87542999568723        3.8023120176679965       0.83310966221538429        4.6354216798833807        631729047.07604706     
   1.1835442162474320E-002   302.75704594065809        3.7758921872782945       0.86576137378918716        4.6416535610674812        642541958.00407779     
   1.2575157297628965E-002   294.77037697207106        3.6762849234170378       0.76283775276204580        4.4391226761790836        606320747.63894761     
   1.3314872432783611E-002   297.66982059535434        3.7124458870391854       0.75792341106399042        4.4703692981031766        604947948.80321944     
   1.4054587567938256E-002   310.36456619804648        3.8707708257429609       0.79941065663384914        4.6701814823768100        618722011.24394166     
   1.4794302703092900E-002   296.14491463280342        3.6934277317640851       0.82631037610058511        4.5197381078646703        629079546.28441536     
   1.5534017838247545E-002   306.23366217923899        3.8192514691494597       0.80205114355386886        4.6213026127033281        620649210.80552614     
   1.6273732973402191E-002   295.51453135410890        3.6855657865874893       0.78602447477357562        4.4715902613610652        614069209.49690282     
   1.7013448108556834E-002   300.88128151162135        3.7524982337841033       0.86929915824459580        4.6217973920286992        643188785.57487595     
   1.7753163243711480E-002   305.17142259085296        3.8060035457185029       0.88093958293373165        4.6869431286522341        647270552.00302660     
   1.8492878378866123E-002   291.62639800831727        3.6370741907012345       0.82846799315980957        4.4655421838610438        629051897.52493942     
   1.9232593514020770E-002   302.06509403248600        3.7672623772075768       0.81471269935188928        4.5819750765594662        624147431.35469580     
   1.9972308649175416E-002   292.27396126905393        3.6451503992974277       0.80255192086318639        4.4477023201606141        619539630.92919600     
   2.0712023784330062E-002   308.32630487362223        3.8453502612549801       0.81924731877905999        4.6645975800340400        625442639.47600341     
   2.1451738919484705E-002   288.24440098869468        3.5948949704485229       0.74578366992000000        4.3406786403685231        598872936.04347765     
   2.2191454054639351E-002   303.25351049363536        3.7820839395495689       0.74814001978938771        4.5302239593389562        599367124.47155213     
   2.2931169189793998E-002   301.35744153267774        3.7584367542166004       0.82456057568107566        4.5829973298976761        626744726.62139904     
   2.3670884324948641E-002   290.67442238256240        3.6252014452904744       0.78391097173044666        4.4091124170209213        612797398.82926810     
   2.4410599460103287E-002   305.04993659960104        3.8044884100300611       0.77757906951137856        4.5820674795414398        610504531.52321815     
   2.5150314595257930E-002   306.64013006883647        3.8243208108849824       0.79454684657878338        4.6188676574637659        615912364.36499202     
   2.5890029730412576E-002   318.04003096885555        3.9664968471532385       0.84588835324040412        4.8123852003936429        633804170.18694842     
   2.6629744865567222E-002   293.62502164853919        3.6620004062579241       0.87223122427628996        4.5342316305342143        643644947.81562150     
   2.7369460000721865E-002   295.81511985963857        3.6893146334098272       0.83704470818759436        4.5263593415974217        631138482.71773696     
   2.8109175135876512E-002   297.51184342337746        3.7104756446371221       0.77312416939869411        4.4835998140358155        608627485.30336320     
   2.8848890271031154E-002   303.93813083949073        3.7906223126438610       0.77830590407329525        4.5689282167171559        610402740.04842401     
   2.9588605406185801E-002   290.20459669684891        3.6193419247281819       0.79403344775454532        4.4133753724827276        615673273.70054185     
   3.0328320541340447E-002   303.86984968174875        3.7897707311744520       0.82317517021570108        4.6129459013901535        626238437.55797815     
   3.1068035676495090E-002   303.92675865830540        3.7904804823192961       0.81154888824813842        4.6020293705674344        622098387.97563732     
   3.1807750811649736E-002   294.36140907419423        3.6711844023518942       0.81649778102340864        4.4876821833753029        623893639.44239855     
   3.2547465946804383E-002   297.59123945111867        3.7114658473256092       0.74602083994142854        4.4574866872670382        598464540.79116547     
   3.3287181081959022E-002   303.55733103222468        3.7858730952880579       0.81861683630421489        4.6044899315922727        623906863.65860820     
   3.4026896217113668E-002   295.75013186007203        3.6885041231900986       0.79420318305032334        4.4827073062404219        615448373.61607730     
   3.4766611352268315E-002   296.75083034532463        3.7009845250269788       0.81139106040136599        4.5123755854283454        622263906.58835828     
